index;x;y;z
166;-0.992844;-0.020538;0.080124
167;-0.992584;-0.020187;0.078369
168;-0.992767;-0.020279;0.079102
169;-0.992004;-0.019257;0.077255
170;-0.991165;-0.020889;0.076767
171;-0.995193;-0.018478;0.090652
172;-0.990326;-0.021088;0.076859
173;-0.991455;-0.019974;0.094284
174;-0.998260;-0.019302;0.097672
175;-0.998596;-0.020248;0.079742
176;-0.992462;-0.018921;0.067917
177;-0.989120;-0.020401;0.096237
178;-0.991745;-0.019714;0.089294
179;-0.992676;-0.020569;0.109482
180;-0.992828;-0.019028;0.085007
181;-0.992615;-0.020416;0.095047
182;-0.992752;-0.020508;0.063553
183;-0.992432;-0.019958;0.060760
184;-0.994461;-0.019882;0.057129
185;-0.994614;-0.019913;0.078659
186;-0.993607;-0.019653;0.070374
187;-0.991501;-0.020142;0.081558
188;-0.995178;-0.020615;0.097809
189;-0.995316;-0.021393;0.109360
190;-0.994431;-0.020172;0.086472
191;-0.991394;-0.021088;0.033737
192;-0.986755;-0.020889;0.108810
193;-0.992569;-0.019058;0.107086
194;-1.002014;-0.022476;0.096985
195;-0.992340;-0.026871;0.125565
196;-0.991577;-0.013474;0.040787
197;-1.056915;-0.100372;0.100586
198;-0.985947;-0.049423;-0.111649
199;-0.991287;-0.049194;-0.224060
200;-0.960526;-0.093903;-0.306824
201;-0.910645;-0.115707;-0.444763
202;-0.832047;-0.145020;-0.531189
203;-0.699249;-0.132446;-0.669907
204;-0.574997;-0.121384;-0.768753
205;-0.480057;-0.137024;-0.807755
206;-0.386505;-0.104523;-0.902557
207;-0.217972;-0.122849;-0.927383
208;-0.208939;-0.087677;-0.960663
209;-0.013107;-0.091293;-0.868912
210;0.031738;-0.036240;-0.983093
211;0.190613;-0.167023;-0.978241
212;0.287186;-0.086700;-0.852188
213;0.427719;-0.147476;-0.865921
214;0.626938;-0.162720;-0.888290
215;0.919922;-0.161530;-1.180023
216;0.724060;-0.166687;-0.561172
217;0.685150;-0.149353;-0.432648
218;0.853043;-0.187881;-0.732101
219;0.795090;-0.117584;-0.467148
220;0.914444;-0.204529;-0.335266
221;0.861176;-0.099762;-0.283279
222;0.938324;-0.083115;-0.277328
223;0.967255;-0.075455;-0.166260
224;0.987808;-0.067139;-0.164581
225;1.027557;-0.072388;-0.117020
226;0.952072;-0.042313;-0.041367
227;0.976654;-0.050110;-0.092163
228;0.992020;-0.067810;-0.150238
229;1.001801;-0.050812;-0.097992
230;0.997040;-0.048630;-0.019989
231;1.005661;-0.050888;-0.010361
232;0.995163;-0.050735;0.004730
233;0.998825;-0.048279;0.023880
234;0.996216;-0.048828;0.047470
235;0.999222;-0.049881;0.058701
236;0.995956;-0.049347;0.057175
237;0.998215;-0.049469;0.043762
238;1.001373;-0.047867;0.034714
239;0.998764;-0.048996;0.041183
240;0.999756;-0.050919;0.035202
241;0.998276;-0.049911;0.041550
242;0.999374;-0.049957;0.041565
243;0.998978;-0.050537;0.035919
244;0.998306;-0.049957;0.039246
245;1.000763;-0.050064;0.041855
246;0.999130;-0.050644;0.039780
247;0.999832;-0.049881;0.040436
248;0.997894;-0.050079;0.044266
249;1.000687;-0.050766;0.036453
250;0.999084;-0.049835;0.036804
251;0.999039;-0.049667;0.038239
252;1.000610;-0.050339;0.027191
253;0.999130;-0.051117;0.035065
254;0.999222;-0.049973;0.032852
255;0.997620;-0.049500;0.037506
256;1.000778;-0.050446;0.032440
257;0.999344;-0.050247;0.033127
258;0.999557;-0.050613;0.032639
259;0.999283;-0.049454;0.030151
260;1.000580;-0.049698;0.033478
261;0.999527;-0.050079;0.033600
262;0.999847;-0.050262;0.037003
263;1.000488;-0.050400;0.032333
264;0.999786;-0.049805;0.034561
265;1.001221;-0.050171;0.035782
266;0.998901;-0.049698;0.040100
267;0.999420;-0.050034;0.043732
268;1.001373;-0.049500;0.035889
269;0.999100;-0.049683;0.042786
270;0.999939;-0.049866;0.037460
271;0.998367;-0.050812;0.033218
272;1.000427;-0.048828;0.034012
273;0.998718;-0.049057;0.038773
274;1.000824;-0.049957;0.034500
275;0.998383;-0.050766;0.039368
276;1.001205;-0.049606;0.027710
277;0.999588;-0.049194;0.033081
278;0.997467;-0.049500;0.048096
279;0.999435;-0.050385;0.036682
280;1.000595;-0.049698;0.037567
281;1.000397;-0.050232;0.029907
282;0.999893;-0.051086;0.025864
283;0.997528;-0.050018;0.034271
284;1.000381;-0.049362;0.030609
285;0.999680;-0.050491;0.020401
286;1.000687;-0.047989;0.028870
287;1.002487;-0.050323;0.020309
288;1.001373;-0.050095;0.027832
289;1.000748;-0.050720;0.027130
290;1.001114;-0.049927;0.022385
291;1.000626;-0.049225;0.020447
292;1.000031;-0.048309;0.020859
293;1.000137;-0.051895;0.016983
294;1.002304;-0.049210;0.025085
295;1.008621;-0.045593;0.041641
296;1.020538;-0.038284;-0.011017
297;0.988113;-0.117630;-0.140808
298;0.926575;-0.171463;-0.351776
299;0.877457;-0.258591;-0.431213
300;0.784210;-0.182785;-0.567062
301;0.617035;-0.205948;-0.795700
302;0.520508;-0.298538;-0.575607
303;0.479523;-0.220215;-0.877167
304;0.542068;-0.153290;-0.798874
305;0.460724;-0.121765;-0.906616
306;0.333771;-0.063110;-1.014954
307;0.264084;-0.045639;-0.960236
308;0.213943;0.018570;-0.992203
309;0.183670;-0.039215;-0.997986
310;0.188370;-0.067871;-0.973434
311;0.121338;-0.089951;-0.964310
312;0.053711;-0.055801;-0.991806
313;0.139359;0.003326;-0.999405
314;0.057495;-0.035889;-1.015396
315;0.048096;-0.025589;-1.012070
316;0.049942;-0.032745;-0.994522
317;0.051849;-0.031235;-0.988846
318;0.043701;-0.024429;-0.994629
319;0.047470;-0.024582;-1.000336
320;0.050186;-0.025131;-0.996292
321;0.048904;-0.026459;-0.994324
322;0.042343;-0.028412;-0.997208
323;0.043030;-0.027710;-0.994995
324;0.043930;-0.028351;-0.993423
325;0.043732;-0.028824;-0.996185
326;0.042038;-0.028442;-0.995514
327;0.044556;-0.027634;-0.995132
328;0.042587;-0.027832;-0.995041
329;0.043854;-0.028122;-0.995636
330;0.043564;-0.028015;-0.994675
331;0.043198;-0.028580;-0.995255
332;0.042084;-0.028046;-0.995499
333;0.043777;-0.028152;-0.994797
334;0.043442;-0.027771;-0.995026
335;0.042297;-0.028076;-0.994553
336;0.042679;-0.028580;-0.996445
337;0.042023;-0.026962;-0.995743
338;0.044250;-0.028442;-0.994888
339;0.042328;-0.027451;-0.994904
340;0.041779;-0.028442;-0.994492
341;0.041260;-0.028595;-0.994995
342;0.044067;-0.028412;-0.995590
343;0.042892;-0.028687;-0.996353
344;0.043182;-0.028625;-0.994812
345;0.042664;-0.027374;-0.994980
346;0.041870;-0.030014;-0.995895
347;0.041901;-0.029114;-0.996185
348;0.042435;-0.029922;-0.995071
349;0.036514;-0.032867;-0.995041
350;0.038544;-0.031784;-0.994934
351;0.040604;-0.032166;-0.995850
352;0.039459;-0.033798;-0.993286
353;0.041473;-0.031555;-0.995712
354;0.041962;-0.030609;-0.998352
355;0.037689;-0.035507;-0.996414
356;0.033249;-0.040649;-0.994171
357;0.032394;-0.039673;-0.994110
358;0.037384;-0.035049;-0.998215
359;0.032120;-0.040070;-0.992783
360;0.032715;-0.038971;-0.995575
361;0.030106;-0.040070;-0.995834
362;0.030518;-0.044479;-0.997543
363;0.024078;-0.050690;-0.997238
364;0.026566;-0.051651;-1.013474
365;0.021347;-0.064590;-1.014618
366;0.027634;-0.099121;-1.013824
367;0.040527;-0.150543;-1.005829
368;0.066864;-0.200211;-0.990662
369;0.067001;-0.262070;-0.974136
370;0.061874;-0.331009;-0.930573
371;0.056946;-0.402924;-0.908081
372;0.064102;-0.481888;-0.882736
373;0.073151;-0.572021;-0.792709
374;0.064362;-0.654388;-0.721756
375;0.052643;-0.717590;-0.645401
376;0.020721;-0.789383;-0.581573
377;0.019913;-0.838760;-0.506454
378;0.007874;-0.856400;-0.484406
379;0.002014;-0.883881;-0.456375
380;-0.008301;-0.907104;-0.383957
381;-0.014206;-0.924454;-0.348816
382;-0.032242;-0.931778;-0.354889
383;-0.026291;-0.940781;-0.316086
384;-0.031601;-0.945084;-0.322403
385;-0.024658;-0.951019;-0.299515
386;-0.029205;-0.954010;-0.291504
387;-0.023087;-0.959686;-0.284668
388;-0.024582;-0.964111;-0.245789
389;-0.032394;-0.966843;-0.238663
390;-0.030823;-0.972931;-0.227249
391;-0.026840;-0.976273;-0.206039
392;-0.002380;-0.979950;-0.188934
393;-0.040405;-0.983627;-0.159088
394;-0.030075;-0.986649;-0.125473
395;0.007324;-0.995010;-0.120010
396;-0.038223;-0.991302;-0.116455
397;-0.028656;-0.992722;-0.088165
398;-0.031403;-0.990967;-0.108017
399;-0.028381;-0.993073;-0.101959
400;-0.031876;-0.993835;-0.074524
401;-0.031372;-0.996597;-0.079681
402;-0.032852;-0.997330;-0.086212
403;-0.037430;-0.995483;-0.065994
404;-0.029770;-0.997314;-0.042130
405;-0.032776;-0.997452;-0.078583
406;-0.032135;-0.997116;-0.038040
407;-0.031921;-0.998352;-0.062103
408;-0.036041;-0.997208;-0.051132
409;-0.031189;-0.999374;-0.055191
410;-0.032578;-0.996536;-0.046280
411;-0.031540;-0.996201;-0.039688
412;-0.033920;-0.996811;-0.032578
413;-0.032639;-0.999176;-0.039673
414;-0.034836;-0.997192;-0.033066
415;-0.035904;-0.995499;-0.047958
416;-0.030151;-0.997894;-0.046936
417;-0.036697;-0.995682;-0.063416
