index;x;y;z
0;-0.067230;0.014679;-0.953644
1;-0.088837;0.013229;-0.985916
2;-0.095245;0.012024;-0.989655
3;-0.091232;0.011200;-0.992859
4;0.000565;0.002319;-0.006332
5;0.008072;0.003250;-0.016190
6;0.009903;0.001892;-0.042862
7;0.050674;0.031281;0.015991
8;1.450897;2.119843;0.030670
9;1.050674;0.334549;-0.376221
10;0.430450;-0.003815;-0.882462
11;-0.012772;0.018295;-0.930038
12;0.024094;0.173599;-0.824127
13;0.027908;0.005646;-0.994629
14;0.008362;0.024567;-0.979599
